Company,Valuation,date,Country,City,Industry,investor
ByteDance,11463200000000,2017-04-07,China,Beijing,Artificial intelligence,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group"
SpaceX,10398760000000,2012-12-01,United States,Hawthorne,Other,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
SHEIN,8188000000000,2018-07-03,China,Shenzhen,E-commerce & direct-to-consumer,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners"
Stripe,7778600000000,2014-01-23,United States,San Francisco,Fintech,"Khosla Ventures, LowercaseCapital, capitalG"
Canva,3275200000000,2018-01-08,Australia,Surry Hills,Internet software & services,"Sequoia Capital China, Blackbird Ventures, Matrix Partners"
Checkout.com,3275200000000,2019-05-02,United Kingdom,London,Fintech,"Tiger Global Management, Insight Partners, DST Global"
Instacart,3193320000000,2014-12-30,United States,San Francisco,"Supply chain, logistics, & delivery","Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
Databricks,3111440000000,2019-02-05,United States,San Francisco,Data management & analytics,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
Revolut,2702040000000,2018-04-26,United Kingdom,London,Fintech,"index Ventures, DST Global, Ribbit Capital"
Epic Games,2579220000000,2018-10-26,United States,Cary,Other,"Tencent Holdings, KKR, Smash Ventures"
Fanatics,2210760000000,2012-06-06,United States,Jacksonville,E-commerce & direct-to-consumer,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
Chime,2047000000000,2019-03-05,United States,San Francisco,Fintech,"Forerunner Ventures, Crosslink Capital, Homebrew"
BYJU's,1801360000000,2017-07-25,India,Bengaluru,Edtech,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
Xiaohongshu,1637600000000,2016-03-31,China,Shanghai,E-commerce & direct-to-consumer,"GGV Capital, ZhenFund, Tencent"
J&T Express,1637600000000,2021-04-07,Indonesia,Jakarta,"Supply chain, logistics, & delivery","Hillhouse Capital Management, Boyu Capital, Sequoia Capital China"
Miro,1432900000000,2022-01-05,United States,San Francisco,Internet software & services,"Accel, AltaIR Capital, Technology Crossover Ventures"
Yuanfudao,1269140000000,2017-05-31,China,Beijing,Edtech,"Tencent Holdings, Warbug Pincus, IDG Capital"
DJI Innovations,1228200000000,2015-01-23,China,Shenzhen,Hardware,"Accel Partners, Sequoia Capital"
Discord,1228200000000,2018-04-20,United States,San Francisco,Internet software & services,"Benchmark, Greylock Partners, Tencent Holdings"
goPuff,1228200000000,2020-10-08,United States,Philadelphia,"Supply chain, logistics, & delivery","Accel, Softbank Group, Anthos Capital"
Yuanqi Senlin,1228200000000,2020-03-01,China,Beijing,Consumer & retail,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital"
Ripple,1228200000000,2019-12-20,United States,San Francisco,Fintech,"IDG Capital, Venture51, Lightspeed Venture Partners"
Blockchain.com,1146320000000,2021-02-17,United Kingdom,London,Fintech,"Lightspeed Venture Partners, Google Ventures, Lakestar"
Plaid,1105380000000,2018-12-11,United States,San Francisco,Fintech,"New Enterprise Associates, Spar Capital, Index Ventures"
OpenSea,1089004000000,2021-07-20,United States,New York,Internet software & services,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures"
Celonis,1064440000000,2018-06-26,Germany,Munich,Data management & analytics,"Accel, 83North"
Grammarly,1064440000000,2019-10-10,United States,San Francisco,Internet software & services,"General Catalyst, Institutional Venture Partners, Breyer Capital"
Devoted Health,1031688000000,2018-10-16,United States,Waltham,Health,"Andreessen Horowitz, F-Prime Capital, Venrock"
Faire,1030869200000,2019-10-30,United States,San Francisco,Artificial intelligence,"Khosla Ventures, Forerunner Ventures, Sequoia Capital"
Brex,1007124000000,2018-10-05,United States,San Francisco,Fintech,"DST Global, Ribbit Capital, Greenoaks Capital Management"
JUUL Labs,982560000000,2017-12-20,United States,San Francisco,Consumer & retail,Tiger Global Management
Bitmain Technologies,982560000000,2018-07-06,China,Beijing,Hardware,"Coatue Management, Sequoia Capital China, IDG Capital"
Biosplice Therapeutics,982560000000,2018-08-06,United States,San Diego,Health,"Vickers Venture Partners, IKEA GreenTech"
GoodLeap,982560000000,2021-10-13,United States,Roseville,Internet software & services,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management"
Xingsheng Selected,982560000000,2020-07-22,China,Changsha,E-commerce & direct-to-consumer,"KKR, Tencent Holdings, Sequoia Capital China"
Deel,982560000000,2021-04-21,United States,San Francisco,Fintech,"Andreessen Horowitz, Spark Capital, Y Combinator"
Getir,966184000000,2021-03-26,Turkey,Istanbul,"Supply chain, logistics, & delivery","Tiger Global Management, Sequoia Capital, Revo Capital"
Airtable,957996000000,2018-11-15,United States,San Francisco,Internet software & services,"Caffeinated Capital, CRV, Founder Collective"
ZongMu Technology,933432000000,2021-06-03,China,Shanghai,Auto & transportation,"LTW Capital, Legend Capital, Qualcomm Ventures"
Rippling,921150000000,2020-08-04,United States,San Francisco,Internet software & services,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers"
Global Switch,908868000000,2016-12-22,United Kingdom,London,Hardware,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group"
Bolt,900680000000,2021-10-08,United States,San Francisco,Fintech,"Activant Capital, Tribe Capital, General Atlantic"
Alchemy,835176000000,2021-10-28,United States,San Francisco,Fintech,"DFJ Growth Fund, Coatue Management, Addition"
Weilong,890854400000,2021-05-08,China,Luohe,Consumer & retail,"Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital"
Swiggy,876116000000,2018-06-21,India,Bengaluru,"Supply chain, logistics, & delivery","Accel India, SAIF Partners, Norwest Venture Partners"
Lalamove,818800000000,2019-02-21,Hong Kong,Cheung Sha Wan,"Supply chain, logistics, & delivery","MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital"
Gusto,818800000000,2015-12-18,United States,San Francisco,Fintech,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers"
Chehaoduo,818800000000,2016-03-12,China,Beijing,E-commerce & direct-to-consumer,"Sequoia Capital China, GX Capital"
reddit,818800000000,2017-07-31,United States,San Francisco,Internet software & services,"Y Combinator, Sequoia Capital, Coatue Management"
Talkdesk,818800000000,2018-10-03,United States,San Francisco,Internet software & services,"DJF, Salesforce Ventures, Storm Ventures"
Notion Labs,818800000000,2020-04-01,United States,San Francisco,Internet software & services,"Index Ventures, Draft Ventures, Felicis Ventures"
Thrasio,818800000000,2020-07-15,United States,Walpole,E-commerce & direct-to-consumer,"Upper90, RiverPark Ventures, Advent International"
Digital Currency Group,818800000000,2021-11-01,United States,New York,Fintech,"Ribbit Capital, capitalG, Softbank Group"
KuCoin,818800000000,2022-05-10,Seychelles,Victoria,Fintech,"IDG Capital, Matrix Partners China, Jump Crypto"
OutSystems,777860000000,2018-06-05,United States,Boston,Internet software & services,"KKR, ES Ventures, North Bridge Growth Equity"
ServiceTitan,777860000000,2018-11-14,United States,Glendale,Internet software & services,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures"
HEYTEA,759846400000,2019-07-01,China,Shenzhen,Other,"Sequoia Capital China, Tencent Investment, BA Capital"
N26,755752400000,2019-01-10,Germany,Berlin,Fintech,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures"
Klaviyo,753296000000,2020-11-17,United States,Boston,Internet software & services,"Summit Partners, Accel, Astral Capital"
TripActions,753296000000,2018-11-08,United States,Palo Alto,Travel,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures"
Northvolt,743470400000,2019-06-12,Sweden,Stockholm,Other,"Vattenfall, Volkswagen Group, Goldman Sachs"
Tanium,736920000000,2015-03-31,United States,Kirkland,Cybersecurity,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth"
