State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Agricultural_Workers,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Television,ST,SC,Rural_Households,Urban_Households,sex_ratio,Literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,5512,484912,194954,566108,306433,495794,488596,597466,220248,100.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,8606,879537,223016,897970,559461,154127,583135,902997,341431,98.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,13763,748093,324406,944555,611465,159165,785760,907970,395900,100.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,22411,1122046,479914,1297273,821421,213195,945269,1199479,406362,101.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,19383,1227956,648568,1186028,816849,247089,957407,1069877,513113,100.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,149034,23029,581509,869721,746818,48937,247927,0,1066289,95.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,8831,756859,344667,926768,589283,106745,709757,877236,288044,101.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,8628,804537,219710,668519,416734,765565,462896,669262,201363,101.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,30438,1006976,632890,1163932,794346,132464,871063,909292,567042,99.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,10081,1037302,195001,816721,543044,82831,737945,783853,306982,99.0,52.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,6153,931084,136843,757821,362791,364269,708954,848963,161052,98.0,48.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,8635,571129,163074,604719,349304,168985,537947,593653,195479,99.0,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,7715,863131,228818,789225,464172,394279,637385,833504,197433,98.0,57.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,5261,448281,186740,545913,308270,192941,371074,565165,155133,104.0,54.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,6151,889218,290947,763746,468022,151145,787861,873486,214089,98.0,56.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,3988,700833,149554,615432,297418,166118,255664,752752,149684,101.0,55.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,4453,557254,140361,527736,278230,235556,247728,592458,157056,102.0,53.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,12952,758092,237349,828077,462819,530656,616102,758738,288249,100.0,59.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,12050,1061787,435334,1017568,648607,109072,811698,1007255,248373,100.0,67.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,170,4208,4762,14593,9314,53878,0,33422,6498,93.0,49.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,57,1063,3583,5318,3169,72400,0,14503,5215,103.0,49.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,450,3565,4866,14231,9363,69979,0,19497,9524,98.0,63.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,95,2947,586,3911,1320,90764,0,18603,1092,103.0,40.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,312,7789,6549,17157,12215,47410,0,33599,11372,91.0,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,207,3354,3068,5932,4345,25974,0,12000,3950,93.0,59.0
